sample_idx,num_tokens_generated,num_tokens_scored,num_green_tokens,watermarking_fraction,green_fraction,z_score,p_value,detected
59,70,6,6,0.08571428571428572,1.0,2.4494897427831783,0.007152939217714809,0
60,67,19,19,0.2835820895522388,1.0,4.358898943540673,6.535922683381509e-06,1
61,46,8,8,0.17391304347826086,1.0,2.82842712474619,0.002338867490523633,0
62,47,7,7,0.14893617021276595,1.0,2.6457513110645903,0.00407548579675135,0
63,43,2,2,0.046511627906976744,1.0,1.414213562373095,0.07864960352514258,0
64,3,2,2,0.6666666666666666,1.0,1.414213562373095,0.07864960352514258,0
65,40,7,7,0.175,1.0,2.6457513110645903,0.00407548579675135,0
66,34,11,11,0.3235294117647059,1.0,3.3166247903554,0.0004555594385768564,0
67,34,8,8,0.23529411764705882,1.0,2.82842712474619,0.002338867490523633,0
68,92,20,20,0.21739130434782608,1.0,4.47213595499958,3.872108215522035e-06,1
69,33,8,8,0.24242424242424243,1.0,2.82842712474619,0.002338867490523633,0
70,3,2,2,0.6666666666666666,1.0,1.414213562373095,0.07864960352514258,0
71,397,34,34,0.08564231738035265,1.0,5.8309518948453,2.7556036259949798e-09,1
72,55,11,11,0.2,1.0,3.3166247903554,0.0004555594385768564,0
73,3,2,2,0.6666666666666666,1.0,1.414213562373095,0.07864960352514258,0
74,320,32,32,0.1,1.0,5.65685424949238,7.70862895014001e-09,1
75,3,2,2,0.6666666666666666,1.0,1.414213562373095,0.07864960352514258,0
76,3,2,2,0.6666666666666666,1.0,1.414213562373095,0.07864960352514258,0
77,47,14,14,0.2978723404255319,1.0,3.7416573867739413,9.14053164909174e-05,0
78,143,25,25,0.17482517482517482,1.0,5.0,2.866515718791933e-07,1
79,68,21,21,0.3088235294117647,1.0,4.58257569495584,2.296416855876984e-06,1
80,186,45,45,0.24193548387096775,1.0,6.7082039324993685,9.851722355899584e-12,1
81,9,7,7,0.7777777777777778,1.0,2.6457513110645903,0.00407548579675135,0
82,3,2,2,0.6666666666666666,1.0,1.414213562373095,0.07864960352514258,0
83,84,22,22,0.2619047619047619,1.0,4.69041575982343,1.3632523280777437e-06,1
84,53,15,14,0.2830188679245283,0.9333333333333333,3.3565855667130946,0.00039455649450781497,0
85,49,6,6,0.12244897959183673,1.0,2.4494897427831783,0.007152939217714809,0
86,47,6,6,0.1276595744680851,1.0,2.4494897427831783,0.007152939217714809,0
87,62,8,8,0.12903225806451613,1.0,2.82842712474619,0.002338867490523633,0
88,79,12,12,0.1518987341772152,1.0,3.464101615137755,0.0002660027525696246,0
89,409,22,22,0.05378973105134474,1.0,4.69041575982343,1.3632523280777437e-06,1
90,3,2,2,0.6666666666666666,1.0,1.414213562373095,0.07864960352514258,0
91,30,10,10,0.3333333333333333,1.0,3.162277660168379,0.000782701129001274,0
92,125,11,11,0.088,1.0,3.3166247903554,0.0004555594385768564,0
93,3,2,2,0.6666666666666666,1.0,1.414213562373095,0.07864960352514258,0
94,196,22,22,0.11224489795918367,1.0,4.69041575982343,1.3632523280777437e-06,1
